SampleID	ASgene	ASID	AStype
TCGA_W5_AA2H	PLEKHN1	1	ES
TCGA_W5_AA39	PLEKHN1	1	ES
TCGA_ZH_A8Y5	HES4	4	AD
TCGA_W5_AA2H	HES4	5	ES
TCGA_ZH_A8Y5	HES4	5	ES
TCGA_W5_AA2H	HES4	6	RI
TCGA_W5_AA39	HES4	6	RI
TCGA_W5_AA2U	C1orf159	12	RI
TCGA_W5_AA2X	C1orf159	12	RI
TCGA_W5_AA33	C1orf159	15	ES
TCGA_ZH_A8Y1	C1orf159	20	AA
TCGA_3X_AAVC	C1orf159	22	ES
TCGA_4G_AAZO	C1orf159	22	ES
TCGA_3X_AAV9	TNFRSF18	36	ES
TCGA_W5_AA2T	TNFRSF18	36	ES
TCGA_ZH_A8Y2	TNFRSF18	36	ES
TCGA_YR_A95A	TNFRSF18	36	ES
TCGA_ZH_A8Y4	TNFRSF18	36	ES
TCGA_W5_AA2Q	SDF4	38	AT
TCGA_W5_AA2W	SDF4	38	AT
TCGA_W5_AA33	SDF4	38	AT
TCGA_W5_AA2Q	SDF4	39	AT
TCGA_W5_AA2W	SDF4	39	AT
TCGA_W5_AA33	SDF4	39	AT
TCGA_W5_AA2H	SDF4	40	AA
TCGA_ZH_A8Y6	SDF4	40	AA
TCGA_W5_AA2H	SDF4	41	AA
TCGA_W5_AA30	SDF4	41	AA
TCGA_W5_AA30	UBE2J2	47	ES
TCGA_W5_AA34	UBE2J2	54	ES
TCGA_W5_AA2T	UBE2J2	65	ES
TCGA_W5_AA2H	UBE2J2	66	AD
TCGA_ZH_A8Y1	SCNN1D	67	AP
TCGA_ZH_A8Y1	SCNN1D	68	AP
TCGA_W5_AA2H	CPSF3L	80	AA
TCGA_ZH_A8Y5	CPSF3L	81	ES
TCGA_W5_AA2H	CPSF3L	82	ES
TCGA_W5_AA2I	CPSF3L	83	AA
TCGA_W5_AA2O	CPSF3L	83	AA
TCGA_ZH_A8Y2	CPSF3L	83	AA
TCGA_4G_AAZT	CPSF3L	85	ES
TCGA_W5_AA38	CPSF3L	85	ES
